winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Australia,,2005-02-17,Eden Park,Australia,bat,New Zealand,Australia
England,,2005-06-13,The Rose Bowl,England,bat,England,Australia
New Zealand,,2005-10-21,New Wanderers Stadium,New Zealand,field,South Africa,New Zealand
Australia,,2006-01-09,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia,South Africa
South Africa,,2006-02-24,New Wanderers Stadium,South Africa,bat,South Africa,Australia
Sri Lanka,,2006-06-15,The Rose Bowl,Sri Lanka,bat,England,Sri Lanka
Pakistan,,2006-08-28,County Ground,England,bat,England,Pakistan
India,,2006-12-01,New Wanderers Stadium,South Africa,bat,South Africa,India
Sri Lanka,,2006-12-22,Westpac Stadium,New Zealand,bat,New Zealand,Sri Lanka
New Zealand,,2006-12-26,Eden Park,New Zealand,field,New Zealand,Sri Lanka
Australia,,2007-01-09,Sydney Cricket Ground,Australia,bat,Australia,England
West Indies,,2007-06-28,Kennington Oval,West Indies,bat,England,West Indies
England,,2007-06-29,Kennington Oval,West Indies,bat,England,West Indies
Bangladesh,,2007-09-01,Gymkhana Club Ground,Bangladesh,field,Kenya,Bangladesh
Pakistan,,2007-09-02,Gymkhana Club Ground,Bangladesh,field,Bangladesh,Pakistan
Pakistan,,2007-09-04,Gymkhana Club Ground,Kenya,bat,Kenya,Pakistan
South Africa,,2007-09-11,New Wanderers Stadium,South Africa,field,South Africa,West Indies
New Zealand,,2007-09-12,Kingsmead,New Zealand,field,Kenya,New Zealand
Pakistan,,2007-09-12,Kingsmead,Scotland,field,Pakistan,Scotland
Zimbabwe,,2007-09-12,Newlands,Australia,bat,Australia,Zimbabwe
England,,2007-09-13,Newlands,England,bat,England,Zimbabwe
Bangladesh,,2007-09-13,New Wanderers Stadium,Bangladesh,field,Bangladesh,West Indies
Sri Lanka,,2007-09-14,New Wanderers Stadium,Kenya,field,Kenya,Sri Lanka
Australia,,2007-09-14,Newlands,England,bat,Australia,England
Sri Lanka,,2007-09-15,New Wanderers Stadium,New Zealand,bat,New Zealand,Sri Lanka
South Africa,,2007-09-15,Newlands,South Africa,field,South Africa,Bangladesh
Australia,,2007-09-16,Newlands,Australia,field,Australia,Bangladesh
New Zealand,,2007-09-16,New Wanderers Stadium,India,field,India,New Zealand
South Africa,,2007-09-16,Newlands,England,field,South Africa,England
Pakistan,,2007-09-17,New Wanderers Stadium,Sri Lanka,field,Pakistan,Sri Lanka
Sri Lanka,,2007-09-18,New Wanderers Stadium,Bangladesh,field,Bangladesh,Sri Lanka
New Zealand,,2007-09-18,Kingsmead,England,field,England,New Zealand
